community_id,state,county,product,doses_needed
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,IPV_Single,0
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,MMR_Single,0
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,Prevnar,0
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,RotaTeq,0
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,PedVaxHib,1
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,Vaxelis,0
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,Pediarix,0
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,DTaP_Single,10
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,IPV_Single,2
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,MMR_Single,5
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,Prevnar,1
POHNPEI__KAPINGAMARANGI,Pohnpei,Kapingamarangi,RotaTeq,0
POHNPEI__KITTI,Pohnpei,Kitti,PedVaxHib,45
POHNPEI__KITTI,Pohnpei,Kitti,Vaxelis,103
POHNPEI__KITTI,Pohnpei,Kitti,Pediarix,72
POHNPEI__KITTI,Pohnpei,Kitti,DTaP_Single,166
POHNPEI__KITTI,Pohnpei,Kitti,IPV_Single,83
POHNPEI__KITTI,Pohnpei,Kitti,MMR_Single,227
POHNPEI__KITTI,Pohnpei,Kitti,Prevnar,161
POHNPEI__KITTI,Pohnpei,Kitti,RotaTeq,23
POHNPEI__KOLONIA,Pohnpei,Kolonia,PedVaxHib,27
POHNPEI__KOLONIA,Pohnpei,Kolonia,Vaxelis,92
POHNPEI__KOLONIA,Pohnpei,Kolonia,Pediarix,32
POHNPEI__KOLONIA,Pohnpei,Kolonia,DTaP_Single,146
POHNPEI__KOLONIA,Pohnpei,Kolonia,IPV_Single,82
POHNPEI__KOLONIA,Pohnpei,Kolonia,MMR_Single,172
POHNPEI__KOLONIA,Pohnpei,Kolonia,Prevnar,126
POHNPEI__KOLONIA,Pohnpei,Kolonia,RotaTeq,15
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,PedVaxHib,16
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,Vaxelis,55
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,Pediarix,13
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,DTaP_Single,72
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,IPV_Single,37
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,MMR_Single,64
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,Prevnar,72
POHNPEI__MADOLENIHMW,Pohnpei,Madolenihmw,RotaTeq,19
POHNPEI__NETT,Pohnpei,Nett,PedVaxHib,45
POHNPEI__NETT,Pohnpei,Nett,Vaxelis,132
POHNPEI__NETT,Pohnpei,Nett,Pediarix,93
POHNPEI__NETT,Pohnpei,Nett,DTaP_Single,165
POHNPEI__NETT,Pohnpei,Nett,IPV_Single,92
POHNPEI__NETT,Pohnpei,Nett,MMR_Single,309
POHNPEI__NETT,Pohnpei,Nett,Prevnar,193
POHNPEI__NETT,Pohnpei,Nett,RotaTeq,16
POHNPEI__NUKUORO,Pohnpei,Nukuoro,PedVaxHib,0
POHNPEI__NUKUORO,Pohnpei,Nukuoro,Vaxelis,1
POHNPEI__NUKUORO,Pohnpei,Nukuoro,Pediarix,0
POHNPEI__NUKUORO,Pohnpei,Nukuoro,DTaP_Single,2
POHNPEI__NUKUORO,Pohnpei,Nukuoro,IPV_Single,1
POHNPEI__NUKUORO,Pohnpei,Nukuoro,MMR_Single,0
POHNPEI__NUKUORO,Pohnpei,Nukuoro,Prevnar,1
POHNPEI__NUKUORO,Pohnpei,Nukuoro,RotaTeq,1
POHNPEI__PINGILAP,Pohnpei,Pingilap,PedVaxHib,0
POHNPEI__PINGILAP,Pohnpei,Pingilap,Vaxelis,3
POHNPEI__PINGILAP,Pohnpei,Pingilap,Pediarix,1
POHNPEI__PINGILAP,Pohnpei,Pingilap,DTaP_Single,2
POHNPEI__PINGILAP,Pohnpei,Pingilap,IPV_Single,1
POHNPEI__PINGILAP,Pohnpei,Pingilap,MMR_Single,5
POHNPEI__PINGILAP,Pohnpei,Pingilap,Prevnar,4
POHNPEI__PINGILAP,Pohnpei,Pingilap,RotaTeq,0
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,PedVaxHib,1
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,Vaxelis,4
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,Pediarix,5
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,DTaP_Single,4
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,IPV_Single,2
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,MMR_Single,9
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,Prevnar,5
POHNPEI__SAPWUAHFIK,Pohnpei,Sapwuahfik,RotaTeq,0
POHNPEI__SOKEHS,Pohnpei,Sokehs,PedVaxHib,47
POHNPEI__SOKEHS,Pohnpei,Sokehs,Vaxelis,92
POHNPEI__SOKEHS,Pohnpei,Sokehs,Pediarix,38
POHNPEI__SOKEHS,Pohnpei,Sokehs,DTaP_Single,134
POHNPEI__SOKEHS,Pohnpei,Sokehs,IPV_Single,72
POHNPEI__SOKEHS,Pohnpei,Sokehs,MMR_Single,180
POHNPEI__SOKEHS,Pohnpei,Sokehs,Prevnar,140
POHNPEI__SOKEHS,Pohnpei,Sokehs,RotaTeq,18
POHNPEI__U,Pohnpei,U,PedVaxHib,20
POHNPEI__U,Pohnpei,U,Vaxelis,26
POHNPEI__U,Pohnpei,U,Pediarix,9
POHNPEI__U,Pohnpei,U,DTaP_Single,48
POHNPEI__U,Pohnpei,U,IPV_Single,22
POHNPEI__U,Pohnpei,U,MMR_Single,58
POHNPEI__U,Pohnpei,U,Prevnar,46
